code,transect,region,elevation,type,plot,plot.num,plot.num.log,lat,lon,elevation.lidar,Tax.rich,Prop.spe,Tax.spe,Tax.gen,Tax.even,Tax.div,Phy.rich,Phy.even,Phy.div,Fun.rich,Fun.even,Fun.div,cff,cmin,ctot,tree.cover,cagb,agb,agb.stem,summer.air,summer.soil,winter.air,winter.soil,nectar,usable,foliar.N,foliar.C,foliar.CN,sand,silt,clay,ph,c10,n10,cn10,olsen.p,k,mg,ca,weight_oh_of_ol,pai,ba,canhei,sca,tmean.air,tmax.air,tmin.air,tmean.soil,tmax.soil,tmin.soil,BIO1,BIO5,BIO6,forcov_500,forestedge,tmeanann,pann,aridity,ndep,spei21_May2018,shrub.ric,tree.ric,total.ric,shrub.nectar,tree.nectar,total.nectar,shrub.phy,tree.phy,total.phy
BE_HI_T1_P1,BEHIT1,BE,HI,T1,P1,1.5,0.405465108,50.5767564,5.9394485,349.1889954,4,0.5,2,2,0.736921456,1.213007566,1.427934676,0.228786473,0.356983669,0.27751411,0.786737436,0.019744351,1.2239587,97.87203927,99.09599797,0.125,301.46,641.4042553,458.1458967,-11.85701912,-4.70839307,-0.3193992,-0.770647942,0.325,0.125,21.67666667,432.69,20.56719371,23.4,55.8,20.8,4.423,7.083,0.444,15.9527027,12.5714,126.86,72.84,307.8,18.82,3.97,55.80709877,26,5,10.32130243,32.35,-5,9.631235012,24,0.5,10.36070934,13.73629032,-1.702419355,60.78930617,6.321516869,8.6,1143,61.4516129,17.89932689,-0.548125862,0,1,5,NA,0,0.325,NA,NA,0.298988666
BE_HI_T1_P2,BEHIT1,BE,HI,T1,P2,4.5,1.504077397,50.5768838,5.9394418,345.3389893,6,0.33,2,4,0.580292163,1.428551419,2.499568384,0.353164873,0.416594731,0.424017517,0.651725066,0.02222754,2.6242426,82.8712232,85.4954658,0.01,65.86,140.1276596,100.0911854,-12.09575866,-6.894862605,-0.216457439,-0.482596403,0.907142857,0,23.87230769,459.9646154,19.45214128,24.5,53.2,22.3,4.438,5.288,0.364,14.52747253,9.2702,100.78,53.6,206,28.28,5.43,16.40277778,25.5,4.902439024,10.3531274,31.425,-5,8.757193732,21,0.5,10.39241344,13.85322581,-1.681451613,60.54987212,6.349486464,8.6,1143,61.4516129,17.65551212,-0.548125862,5,2,13,21.5969697,0,22.50411255,0.61269904,0.301121533,0.403991453
BE_HI_T1_P3,BEHIT1,BE,HI,T1,P3,12.5,2.525728644,50.5769375,5.9395272,345.7479858,7,0.43,3,4,0.608582656,1.658228077,3.806586585,0.58187065,0.543798084,0.454385333,0.72586597,0.031754953,3.890376,106.823586,110.713962,0.095,52.19,111.0425532,79.31610942,-12.06935484,-7.207885305,-0.276011044,-0.146495445,5.023076923,0.692307692,29.875,451.4541667,15.59499929,24.2,52,23.8,4.137,12.042,0.727,16.56396149,23.2262,157.3,95.98,390.6,69.44,6.08,13.92283951,24,2.918918919,10.38125274,31.925,-5,7.873818526,20.5,1.5,10.42284485,13.96774194,-1.746774194,60.930529,6.445644406,8.6,1143,61.4516129,17.11407788,-0.548125862,5,3,15,1.261904762,0,6.284981685,0.572666482,0.242004319,0.467310844
BE_HI_T1_P4,BEHIT1,BE,HI,T1,P4,35.5,3.569532696,50.5772165,5.9396408,355.9970093,3,0.33,1,2,0.688290206,0.974314753,2.481909844,0.793483096,0.827303281,0.029400939,0.853740012,0.010449469,6.119185275,86.44022247,92.55940775,0.015,82.06,174.5957447,124.7112462,-11.49366786,-7.306152927,-0.488863287,0.060291859,6.2625,0.875,31.27625,441.735,14.35017097,26,55.6,18.4,4.173,6.643,0.42,15.81666667,14.867,93.98,35.98,141.4,86.53,6.09,20.55864198,25,2.591836735,11.5649086,33,-5,8.957664884,20.025,0.225,11.59292085,13.89274194,-1.338709677,61.47488875,6.374822179,8.6,1143,61.4516129,16.17105024,-0.548125862,2,1,6,2.908045977,0,9.170545977,0.341941235,NA,0.548032038
BE_HI_T1_P5,BEHIT1,BE,HI,T1,P5,99.5,4.600157644,50.5777125,5.9397999,360.243988,4,0.25,1,3,0.379070934,1.020130653,2.876143849,0.655025692,0.719035962,0.064385562,0.479213143,0.01810022,8.18938475,110.6269801,118.8163649,0.035,143.43,305.1702128,217.9787234,-10.85272347,-6.621576314,-0.366389242,0.05215451,1.154545455,0.818181818,28.7204,457.3648,16.35529347,28.8,50.9,20.3,4.152,8.008,0.463,17.29589633,13.1436,114.02,48.22,120.4,81.71,6.28,31.31481481,25.5,2.625,9.888310296,38,-4.5,9.084615995,20.075,2,9.943105582,13.88548387,-1.753225806,61.51882578,6.111144058,8.6,1143,61.4516129,15.67448334,-0.548125862,1,2,7,0.1,0,1.254545455,NA,0.036230418,0.498577842
BE_HI_T2_P1,BEHIT2,BE,HI,T2,P1,1.5,0.405465108,50.5773683,5.9372052,358.7909851,16,0.44,7,9,0.354301805,2.083724616,5.885432932,0.344681427,0.367839558,0.602765094,0.611397181,0.02952562,3.005668425,83.08957061,86.09523904,0.04,168.25,357.9787234,255.6990881,-11.19468339,-5.977299881,-0.089368478,-0.078976641,8.991566265,0.13253012,23.68342857,434.3685714,18.57777134,25.7,52.4,21.9,4.823,5.02,0.398,12.61306533,10.9214,136.08,125.5,1140.8,27.03,5.47,28.25,26.5,4.24137931,10.99618858,32.5,-4.5,10.03845955,22.725,2.5,11.03208663,14.54516129,-1.663709677,52.59117083,5.470562759,8.6,1143,61.4516129,17.89932689,-0.548125862,0,3,19,NA,0,8.991566265,NA,0.3541486,0.314389459
BE_HI_T2_P2,BEHIT2,BE,HI,T2,P2,4.5,1.504077397,50.5774114,5.9371675,356.8519897,10,0.5,5,5,0.616207073,2.056649622,3.911312039,0.370889366,0.391131204,0.483923921,0.832492635,0.033407152,3.44952885,81.85640655,85.3059354,0.105,136.82,291.106383,207.9331307,-10.80851254,-5.838948626,-0.195326156,-0.073156682,3.420512821,0.230769231,26.5075,449.36625,17.18370445,28.4,51.9,19.7,4.544,6.226,0.452,13.77433628,13.9018,145.78,67.24,470,30.21,5.04,28.20987654,26,3.787401575,10.83013566,33.5,-4.5,10.89694091,21,0,10.8663438,14.39112903,-1.714516129,52.70873168,5.523708745,8.6,1143,61.4516129,17.65551212,-0.548125862,2,2,14,33.33809524,0,36.75860806,0.364801088,0.301121534,0.315845063
BE_HI_T2_P3,BEHIT2,BE,HI,T2,P3,12.5,2.525728644,50.577484,5.9371635,364.6730042,4,0.5,2,2,0.469645313,1.187913816,1.624270862,0.378908454,0.406067716,0.402949096,0.828551905,0.053043345,8.133415,87.05419363,95.18760863,0.04,123.1,261.9148936,187.0820669,-11.01839904,-6.524761051,-0.085061444,-0.192287065,8.231034483,0.344827586,29.14793103,447.2062069,15.97348052,24.4,50.8,24.8,4.277,6.484,0.463,14.00431965,13.5738,123.44,53.02,177.4,66.26,6.1,29.02237654,25.5,3.751269036,10.53798073,35,-4.5,9.436026352,20,1.5,10.56644316,14.69516129,-1.586290323,52.92993631,5.617367417,8.6,1143,61.4516129,17.11407788,-0.548125862,4,2,10,7.913043478,0,16.14407796,0.312813964,0.301121534,0.304827421
BE_HI_T2_P4,BEHIT2,BE,HI,T2,P4,35.5,3.569532696,50.5776857,5.9374266,356.651001,3,0.33,1,2,0.302774577,0.777140996,0.990676641,0.216332374,0.330225547,0.273804293,0.6237395,0.057863261,9.9380981,96.73670564,106.6748037,0.035,44.85,95.42553191,68.16109422,-11.99904421,-7.424731183,-0.197580645,-0.094897108,2.44375,0.9375,38.54,435.81125,11.73286188,20,57.5,22.5,4.317,7.339,0.5,14.678,18.4678,172.9,82.88,510.6,78.83,6.12,11.76697531,27,3.266666667,11.76042402,32.425,-5,8.926436144,20,1.5,11.791069,14.72016129,-1.258064516,53.85595921,5.649916024,8.6,1143,61.4516129,16.17105024,-0.548125862,1,2,6,0.1,31.81818182,34.36193182,NA,0.364801088,0.301547314
BE_HI_T2_P5,BEHIT2,BE,HI,T2,P5,99.5,4.600157644,50.5782086,5.9377273,364.4930115,3,0,0,3,0.264946346,0.678607152,2.350395986,0.547357694,0.783465329,0.034984622,0.425960055,0.010369747,2.5938195,104.2261735,106.819993,0.02,100.14,213.0638298,152.1884498,-11.630227,-7.589307049,-0.20397333,0.421574898,0.014285714,0.857142857,30.10142857,444.94,14.98311194,34.8,44.8,20.4,4.089,8.977,0.527,17.0341556,17.7836,134.4,58.44,292.2,25.14,6.05,17.84876543,23.5,2.876623377,10.51094828,34.5,-4.5,8.347180886,20,2,10.55766547,14.93306452,-1.622580645,55.64773452,5.88555403,8.6,1143,61.4516129,15.67448334,-0.548125862,4,2,9,11.45588235,10.41666667,21.88683473,0.328889573,0.341941235,0.461970867
